選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
1733,大學國文 College Chinese,全,2,412,Y211,陳鍾琇,通識中心,40,38,2,中文,限外文、應經、生機、化工、會計、電機AB選修
1734,大學國文 College Chinese,全,2,412,Y303,張俐盈,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1735,大學國文 College Chinese,全,2,412,Y208,周玟觀,通識中心,40,37,3,中文,限外文、應經、生機、化工、會計、電機AB選修
1736,大學國文 College Chinese,全,2,412,Y302,蕭涵珍,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1737,大學國文 College Chinese,全,2,412,Y202,祁立峰,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1738,大學國文 College Chinese,全,2,412,Y203,陳建源,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1739,大學國文 College Chinese,全,2,412,Y204,蔡妙真,通識中心,40,39,1,中文,限外文、應經、生機、化工、會計、電機AB選修
1740,大學國文 College Chinese,全,2,412,Y206,蕭振聲,通識中心,40,38,2,中文,限外文、應經、生機、化工、會計、電機AB選修
1742,大學國文 College Chinese,全,2,456,Y308,黃慧鳳,通識中心,40,39,1,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1743,大學國文 College Chinese,全,2,456,Y202,羅秀美,通識中心,40,41,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1744,大學國文 College Chinese,全,2,456,Y206,丘彥遂,通識中心,40,41,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1745,大學國文 College Chinese,全,2,456,Y309,張俐盈,通識中心,40,41,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1746,大學國文 College Chinese,全,2,456,Y203,趙家琦,通識中心,40,42,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1747,大學國文 College Chinese,全,2,456,Y204,祁立峰,通識中心,40,42,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1748,大學國文 College Chinese,全,2,456,Y304,陳鍾琇,通識中心,40,40,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1749,大學國文 College Chinese,全,2,456,Y207,陳建源,通識中心,40,40,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數GF選修
1751,大學國文 College Chinese,全,2,589,Y204,余佳韻,通識中心,40,32,8,中文,限僑外生選修
1752,大學國文 College Chinese,全,2,589,Y312,黃慧鳳,通識中心,40,22,18,中文,限僑外生選修
1753,大學國文 College Chinese,全,2,589,Y207,陳鍾琇,通識中心,40,33,7,中文,限僑外生選修
1538,國文 D Chinese,全,3,4ABC,Y207,蔡金昌,夜中文,65,29,36,中文,
1537,國文 E Chinese,全,3,4ABC,Y308,王毓榮,夜中文,65,39,26,中文,
1536,國文 A Chinese,全,3,2ABC,Y206,周安邦,夜中文,65,41,24,中文,
1521,國文 B Chinese,全,3,5ABC,Y208,沈曼菱,夜中文,65,54,11,中文,
1540,國文 C Chinese,全,3,39AB,Y410,張錦瑤,夜中文,65,46,19,中文,
