選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0917,大一英文 C Freshman English,全,2,456,AA202,莊惠婷,語言中心,0,41,中/英文,限企管.應經.生科.材料.生機.會計選修
0918,大一英文 A Freshman English,全,2,456,AA401,林耕安,語言中心,0,27,英文,限企管.應經.生科.材料.生機.會計選修
0919,大一英文 C Freshman English,全,2,456,AA402,施惠家,語言中心,0,39,英文,"限企管.應經.生科.材料.生機.會計選修,含彈性教學"
0920,大一英文 A Freshman English,全,2,156,AA203,何泰鈞,語言中心,0,38,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0921,大一英文 B Freshman English,全,2,156,AA402,李順興,語言中心,0,30,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0922,大一英文 C Freshman English,全,2,156,AA202,廖秀芬,語言中心,0,48,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0923,大一英文 C Freshman English,全,2,156,AA303,楊謦瑜,語言中心,0,46,英文,"限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修,含彈性教學"
0924,大一英文 B Freshman English,全,2,156,AA301,詹鄢如,語言中心,0,37,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0925,大一英文 C Freshman English,全,2,156,AA401,劉芳礽,語言中心,0,53,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0926,大一英文 A Freshman English,全,2,356,AA406,陳威穎,語言中心,0,31,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0927,大一英文 A Freshman English,全,2,356,AA303,陳宥廷,語言中心,0,32,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修;含彈性教學
0928,大一英文 B Freshman English,全,2,356,AA405,陳國豪,語言中心,0,41,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0929,大一英文 B Freshman English,全,2,356,AA203,刁瑋婕,語言中心,0,38,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0930,大一英文 C Freshman English,全,2,356,AA501,徐筱玲,語言中心,0,40,中/英文,"限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修。使用全英文課綱、教材與評量方式Syllabus, teaching materials and assessment methods are all in english"
0931,大一英文 C Freshman English,全,2,356,AA402,楊謦瑜,語言中心,0,40,英文,"限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修,含彈性教學"
0932,大一英文 C Freshman English,全,2,356,AA301,廖秀芬,語言中心,0,40,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0933,大一英文 A Freshman English,全,2,256,AA304,鄭朱雀,語言中心,0,25,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0934,大一英文 A Freshman English,全,2,256,AA401,陳俐亨,語言中心,0,29,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0935,大一英文 B Freshman English,全,2,256,AA301,李順興,語言中心,0,37,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0936,大一英文 B Freshman English,全,2,256,AA302,陳春美,語言中心,0,36,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0937,大一英文 C Freshman English,全,2,256,AA402,謝心怡,語言中心,0,35,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修;含彈性教學
0938,大一英文 C Freshman English,全,2,256,AA203,潘衍至,語言中心,0,34,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0939,大一英文 D Freshman English,全,2,1AB,AA302,劉芳礽,語言中心,0,55,英文,D班不分系別
0940,大一英文 D Freshman English,全,2,2AB,AA202,劉芳礽,語言中心,0,54,英文,D班不分系別
0946,大一英文 C Freshman English,全,2,456,AA301,黃芝華,語言中心,0,39,中/英文,"限企管.應經.生科.材料.生機.會計選修,含彈性教學"
0947,大一英文 C Freshman English,全,2,356,AA202,黃芝華,語言中心,0,36,中/英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修;含彈性教學
9901,學術英語聽講 English for Academic Communication: Listening and Speaking,半,2,112,AA201,龔豪君,語言中心,38,37,英文,園藝系.機械系
9902,學術英語聽講 English for Academic Communication: Listening and Speaking,半,2,112,AA303,謝怡帆,語言中心,38,29,英文,園藝系.機械系
9903,學術英語聽講 English for Academic Communication: Listening and Speaking,半,2,112,AA202,施惠家,語言中心,38,35,英文,園藝系.機械系
9904,學術英語聽講 English for Academic Communication: Listening and Speaking,半,2,112,AA301,劉芳礽,語言中心,38,35,英文,園藝系.機械系
9905,學術英語聽講 English for Academic Communication: Listening and Speaking,半,2,412,AA201,徐筱玲,語言中心,45,42,中/英文,"獸醫系.企管系,使用全英文課綱、教材與評量方式Syllabus, teaching materials and assessment methods are all in english"
9906,學術英語聽講 English for Academic Communication: Listening and Speaking,半,2,412,AA203,莊惠婷,語言中心,45,44,中/英文,"獸醫系.企管系,使用全英文課綱、教材與評量方式Syllabus, teaching materials and assessment methods are all in english"
9907,學術英語聽講 English for Academic Communication: Listening and Speaking,半,2,412,AA303,陳昭良,語言中心,45,35,英文,獸醫系.企管系
9911,學術英文讀寫 English for Academic Communication: Reading & Writing,半,2,212,AA501,徐筱玲,語言中心,38,33,中/英文,"歷史系.智慧創意學程,使用全英文課綱、教材與評量方式使用全英文課綱、教材與評量方式Syllabus ,teaching materials ,teaching materials and assessment methods are all"
9912,學術英文讀寫 English for Academic Communication: Reading & Writing,半,2,212,Y401,陳昭蓉,語言中心,38,35,英文,歷史系.智慧創意學程
9913,學術英文讀寫 English for Academic Communication: Reading & Writing,半,2,556,Y206,莊惠婷,語言中心,35,34,中/英文,"電機A.電資學士班,使用全英文課綱、教材與評量方式Syllabus, teaching materials and assessment methods are all in english"
9914,學術英文讀寫 English for Academic Communication: Reading & Writing,半,2,556,Y207,施惠家,語言中心,35,29,英文,電機A.電資學士班;含彈性教學
1532,大一英文 a Freshman English,全,2,3AB,AA201,廖秀芬,夜不限系別,53,28,英文,限文創學程進修學士班選修
1533,大一英文 b Freshman English,全,2,3AB,AA302,陳國豪,夜不限系別,50,35,中/英文,限創經學程進修學士班選修
1530,大一英文 c Freshman English,全,2,5AB,AA201,陳國豪,夜不限系別,50,28,中/英文,限中文系進修學士班選修
1534,大一英文 d Freshman English,全,2,2AB,Y410,陳威穎,夜外文,60,35,中文,
1531,大一英文 f Freshman English,全,2,5AB,AA203,廖秀芬,夜不限系別,50,38,英文,限生管學程進修學士班選修
